lat,lon,mean_annual_precip_mm
  0.5, -75.5,3077.871186486606
  0.5, -76.5,3479.0440279861978
  0.5, -77.5,1712.297438818833
  0.5, -78.5,2141.8827984086397
  0.5, -79.5,2313.742712793679
  0.5, -80.5,1478.2655416850384
  0.5, 100.5,2895.757385845842
  0.5, 101.5,2718.8815214222873
  0.5, 102.5,2399.6237593025994
  0.5, 103.5,2375.8125515312986
  0.5, 104.5,2404.324177807775
  0.5, 108.5,2891.3733337007716
  0.5, 109.5,3088.9668740568486
  0.5, 110.5,3320.7147259218937
  0.5, 111.5,3611.3944655451282
  0.5, 112.5,3989.3005055394665
  0.5, 113.5,4012.4953394922713
  0.5, 114.5,3723.806113670612
  0.5, 115.5,3381.3185979908903
  0.5, 116.5,2515.397891603667
  0.5, 117.5,2003.3534896784813
  0.5, 118.5,2345.628484134016
  0.5, 120.5,1825.7638024954963
  0.5, 121.5,2076.830637964709
  0.5, 122.5,2196.4534870016164
  0.5, 123.5,2269.5241751835265
  0.5, 124.5,2280.9178605161865
  0.5, 127.5,2320.5078011874493
  0.5, 128.5,2415.2712927193475
  0.5, 173.5,1888.1862315186142
  1.5,   9.5,2382.4954448650624
  1.5,  10.5,2173.1065053528755
  1.5,  11.5,1756.284521522193
  1.5,  12.5,1596.5125374588472
  1.5,  13.5,1586.238400023559
  1.5,  14.5,1615.2677034262954
  1.5,  15.5,1642.2677065997289
  1.5,  16.5,1644.748308707928
  1.5,  17.5,1665.4073608332667
  1.5,  18.5,1688.3530509780196
  1.5,  19.5,1720.9970146129872
  1.5,  20.5,1773.4056414900153
  1.5,  21.5,1763.178477155751
  1.5,  22.5,1752.6095121975602
  1.5,  23.5,1730.1939942590122
  1.5,  24.5,1715.322010336251
  1.5,  25.5,1715.1905397546702
  1.5,  26.5,1697.1965743097767
  1.5,  27.5,1634.4064912467168
  1.5,  28.5,1490.046576795907
  1.5,  29.5,1338.014680677447
  1.5,  30.5,1238.5539008224832
  1.5,  31.5,1253.032354030116
  1.5,  32.5,1344.0836460097084
  1.5,  33.5,1379.7646843009982
  1.5,  34.5,1136.8728617466988
  1.5,  35.5,902.8776011878047
  1.5,  36.5,710.6547542658859
  1.5,  37.5,745.9310468851493
  1.5,  38.5,528.5853546758278
  1.5,  39.5,405.3719903982791
  1.5,  40.5,345.5706955171673
  1.5,  41.5,404.032765983636
  1.5,  42.5,449.7806114018734
  1.5,  43.5,448.54526580022326
  1.5,  44.5,444.4275933622608
  1.5,  97.5,3387.8043695647143
  1.5,  98.5,3412.1385672996785
  1.5,  99.5,2462.5453057124696
  1.5, -50.5,2896.800058447081
  1.5, -51.5,2795.237554089776
  1.5, -52.5,2612.2013444900513
  1.5, -53.5,2374.3099602666393
  1.5, -54.5,2144.67030627152
  1.5, -55.5,1998.0345249998154
  1.5, -56.5,1947.1211612635648
  1.5, -57.5,1903.3763315924282
  1.5, -58.5,1886.925469234072
  1.5, -59.5,1858.459521441624
  1.5, -60.5,1877.5715916978902
  1.5, -61.5,2056.4159851238646
  1.5, -62.5,2315.070308290679
  1.5, -63.5,2529.0013463250516
  1.5, -64.5,2741.3543680125267
  1.5, -65.5,2910.193593386946
  1.5, -66.5,3061.2341150744205
  1.5, -67.5,3253.1591214147106
  1.5, -68.5,3409.4892925393992
  1.5, -69.5,3370.1724768013787
  1.5, -70.5,3177.50566798243
  1.5, -71.5,2988.9060925450817
  1.5, -72.5,2827.562568796092
  1.5, -73.5,2672.8716006443415
  1.5, -74.5,2776.934538479509
  1.5, -75.5,2673.0754813819094
  1.5, -76.5,2058.3698626551136
  1.5, -77.5,2053.460823387935
  1.5, -78.5,3604.478513717651
  1.5, -79.5,2077.0448630760457
  1.5, 100.5,2433.4207348987975
  1.5, 101.5,2548.5496188854345
  1.5, 102.5,2460.978783936336
  1.5, 103.5,2407.810397789396
  1.5, 104.5,2485.5466027424254
  1.5, 109.5,3159.196196786288
  1.5, 110.5,3659.1078150519006
  1.5, 111.5,3885.8660319098108
  1.5, 112.5,3882.8923242503197
