lat,lon,mean_annual_temp_C
  0.5, 112.5,25.943822167385584
  0.5, 113.5,24.44759391642165
  0.5, 114.5,24.401257772555297
  0.5, 115.5,25.088470193161363
  0.5, 116.5,26.553628337794347
  0.5, 117.5,27.015230293931637
  0.5, 118.5,26.26005783026246
  0.5, 120.5,24.359914234314846
  0.5, 121.5,24.299785033039665
  0.5, 122.5,24.15725621135756
  0.5, 123.5,23.93430352485043
  0.5, 124.5,23.60498131828747
  0.5, 127.5,25.48843444352863
  0.5, 128.5,25.58347725320136
  0.5, 173.5,28.215278134948907
  1.5,   9.5,25.839176679479667
  1.5,  10.5,23.987644176373546
  1.5,  11.5,24.08663838485192
  1.5,  12.5,24.80754357918926
  1.5,  13.5,24.16846299171448
  1.5,  14.5,23.90258670127255
  1.5,  15.5,24.107328118949106
  1.5,  16.5,24.81831949332665
  1.5,  17.5,25.07977781076541
  1.5,  18.5,25.207328004398573
  1.5,  19.5,25.44260109978161
  1.5,  20.5,25.508872635063092
  1.5,  21.5,25.573599681086925
  1.5,  22.5,25.544289213487474
  1.5,  23.5,25.50459812153345
  1.5,  24.5,25.10883674402347
  1.5,  25.5,24.681753344919493
  1.5,  26.5,24.538937343948195
  1.5,  27.5,24.41997174833013
  1.5,  28.5,23.8414516723019
  1.5,  29.5,23.308333755909715
  1.5,  30.5,22.343858269439355
  1.5,  31.5,23.442421417126717
  1.5,  32.5,23.50657371816964
  1.5,  33.5,24.126904109428676
  1.5,  34.5,21.643894124305117
  1.5,  35.5,21.601185752057486
  1.5,  36.5,24.335381225607865
  1.5,  37.5,24.571516253482343
  1.5,  38.5,27.872378335601987
  1.5,  39.5,28.261566532069242
  1.5,  40.5,28.8095909864053
  1.5,  41.5,28.739943060381663
  1.5,  42.5,28.27144446592222
  1.5,  43.5,27.5089804167035
  1.5,  44.5,26.771085174604398
  1.5,  97.5,26.497629724699873
  1.5,  98.5,26.73113070959332
  1.5,  99.5,25.65362830819755
  1.5, -50.5,26.761602514091578
  1.5, -51.5,26.158728868111798
  1.5, -52.5,26.06418863658248
  1.5, -53.5,26.060488796782224
  1.5, -54.5,25.92273762856407
  1.5, -55.5,25.826868355959313
  1.5, -56.5,26.05571166400252
  1.5, -57.5,26.166487386856957
  1.5, -58.5,26.044684316920147
  1.5, -59.5,26.103592261500744
  1.5, -60.5,26.70301775822695
  1.5, -61.5,26.511243272101744
  1.5, -62.5,26.341595337308693
  1.5, -63.5,25.960524912538208
  1.5, -64.5,24.049461726484633
  1.5, -65.5,22.794361002143773
  1.5, -66.5,25.9079027532161
  1.5, -67.5,26.18103486916115
  1.5, -68.5,26.18624319975404
  1.5, -69.5,26.061099455274384
  1.5, -70.5,25.900934334458974
  1.5, -71.5,25.35761533660451
  1.5, -72.5,25.45894436452581
  1.5, -73.5,25.582327998917684
  1.5, -74.5,25.744073684188148
  1.5, -75.5,24.209555181963697
  1.5, -76.5,18.208980278037064
  1.5, -77.5,19.17169581884626
  1.5, -78.5,25.01645157254975
  1.5, -79.5,25.7250003924315
  1.5, 100.5,27.370654166429894
  1.5, 101.5,27.304382414653386
  1.5, 102.5,27.399856855129382
  1.5, 103.5,27.135093993154072
  1.5, 104.5,27.243343257355967
  1.5, 109.5,26.64091284247651
  1.5, 110.5,26.16052491363438
  1.5, 111.5,25.831537901670085
  1.5, 112.5,25.36548173838649
  1.5, 113.5,24.90775909643064
  1.5, 114.5,23.470905520450113
  1.5, 115.5,24.30517294763149
  1.5, 116.5,24.697485992278178
  1.5, 117.5,26.437356910486336
