First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Component_Ratio_type	C_method	N_method	P_method	Notes
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	34	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.4932505	10	NA	0.013	dm	NA	NA	19.580764488286	25.2009456264775	30.6470588235294	35.1529411764705	1.45454545454545	0.197945205479452	28.1922344124994	457.94664158862	16.2437157299452	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion70	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	66	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.57915945	10	NA	0.013	dm	NA	NA	19.9260172626387	22.2222222222222	29.5294117647058	35.6470588235294	1.41414141414141	0.152739726027397	29.4053253941044	601.824541274078	20.4665152725955	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion71	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	91	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.27467049	10	NA	0.013	dm	NA	NA	19.6300863131935	20.8983451536642	27.4117647058823	36	1.34006734006734	0.20958904109589	31.3379804936422	442.926972620856	14.1338709656392	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion72	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	roots	green	Eichhornia_crassipes	3	115	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.31049287	10	NA	0.013	dm	NA	NA	19.7780517879161	20.0945626477541	25.0588235294117	35.8588235294117	1.31986531986532	0.195205479452054	31.6928683879879	473.698741245042	14.9465405101856	NA	dm	"Dulikoto wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion73	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	0	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.0228	dm	NA	NA	25.173	34.05	44.32	42.731	3.829	0.376	13.0182563107396	293.057883944231	22.5113008185642	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion74	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	3	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.29228999	10	NA	0.0228	dm	NA	NA	27.7533039647577	32.3726977248104	42.1139101861993	45.6666666666666	3.91304347826086	0.416983240223463	13.6138125636044	282.409245570337	20.7443171595692	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion75	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	7	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.46375144	10	NA	0.0228	dm	NA	NA	27.6651982378854	31.7226435536294	39.3209200438116	51.9333333333333	4.81605351170568	0.486033519553072	12.5791131233232	275.535889313184	21.9042381296586	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion76	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	14	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.90563867	10	NA	0.0228	dm	NA	NA	28.3700440528634	31.7659804983748	37.8970427163198	49.1999999999999	3.93979933110367	0.439776536312849	14.5675369563281	288.490320566194	19.8036443244357	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion77	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	34	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.02301496	10	NA	0.0228	dm	NA	NA	28.8986784140969	29.3391115926327	37.2946330777656	45.7333333333333	3.41806020066889	0.39217877094972	15.6080366817606	300.709378778211	19.26631676421	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion78	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	66	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.41081703	10	NA	0.0228	dm	NA	NA	29.1189427312775	26.2621885157096	35.104052573932	44.8666666666666	3.11705685618729	0.363351955307262	16.7909090421787	318.415720772528	18.9635784443039	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion79	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	91	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.44073648	10	NA	0.0228	dm	NA	NA	29.647577092511	22.1885157096424	29.5180722891566	43.6	3.1505016722408	0.355307262569832	16.1436562949135	316.432150356883	19.6010212665754	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion80	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	leaves	green	Eichhornia_crassipes	4	115	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.07019563	10	NA	0.0228	dm	NA	NA	28.8105726872246	19.6749729144095	23.7677984665936	45.4	3.05685618729097	0.38413407821229	17.3251089081491	304.769297352071	17.591190852989	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion81	digestion	molybdenum_blue	
Balasubramanian	Decomposition and nutrient release of Eichhornia crassipes (Mart.) Solms. Under different trophic conditions in wetlands of eastern Himalayan foothills	2012	Ecological Engineering	10.1016/j.ecoleng.2012.03.002	wetland	NA	NA	NA	litter_bag	1	field	NA	NA	NA	petioles	green	Eichhornia_crassipes	5	0	September2009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	0.0314	dm	NA	NA	24.761	32.73	40.19	34.114	1.775	0.255	22.4196803133539	344.977414246298	15.3872584008621	NA	dm	"Pichola Nishi wetland; Papum Pare district; Arunachal Pradesh northeastern India"	NA	28.000000_93.516667	6	N	N	N	Y	molar	combustion82	digestion	molybdenum_blue	
