First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	C_method	N_method	P_method	Ratio_Type	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Notes
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Cladium_jamaicense	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00268	afdm	NA	NA	NA	NA	NA	44.1	0.5	0.21	86	2107	24	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Cladium_jamaicense	5	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00268	afdm	NA	NA	NA	NA	NA	44.93	0.5	0.13	84	3669	44	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Cladium_jamaicense	5	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00268	afdm	NA	NA	NA	NA	NA	44.58	0.51	0.2	91	3517	39	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Cladium_jamaicense	5	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00268	afdm	NA	NA	NA	NA	NA	45	0.53	0.12	66	3559	54	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	control	NA	NA	leaves	senesced	Cladium_jamaicense	5	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00268	afdm	NA	NA	NA	NA	NA	44.79	0.71	0.14	89	2229	25	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Cladium_jamaicense	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00104	afdm	NA	NA	NA	NA	NA	44.1	0.5	0.21	86	2107	24	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Cladium_jamaicense	6	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00104	afdm	NA	NA	NA	NA	NA	44.58	0.46	0.13	88	4384	50	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Cladium_jamaicense	6	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00104	afdm	NA	NA	NA	NA	NA	44.24	0.46	0.11	96	3436	36	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Cladium_jamaicense	6	273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00104	afdm	NA	NA	NA	NA	NA	44.51	0.51	0.1	77	3257	42	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
Corstanje	Typha latifolia and Cladium jamaicense litter decay in response to exogenous nutrient enrichment	2006	Aquatic Botany	10.1016/j.aquabot.2005.07.013	Wetland	0	0	NA	litter_bag	coarse  	outdoor_mesocosm	nutrient_limited	NA	NA	leaves	senesced	Cladium_jamaicense	6	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0.00104	afdm	NA	NA	NA	NA	NA	44.38	0.59	0.13	101	3784	38	ea	ea	acid_digestion	molar	NA	dm	University_of_Florida_Gainesville	NA	29.6485786_-82.3492714	3	n 	n	y 	y	
